airline_name,date,route ,origin,origin code,destination code,destination,layover 1,layover 2,overall_rating,seat_comfort_rating,cabin_staff_rating,inflight_entertainment_rating,value_money_rating
easyjet,2015-07-08,paris|berlin,paris,CDG,BER,berlin,,,0.5,1,1,,1
easyjet,2015-07-03,copenhagen|berlin schonefeld,copenhagen,CPH,BER,berlin schonefeld,,,0.5,1,1,,1
easyjet,2015-07-03,pula|gatwick,pula,PUY,LGW,gatwick,,,4,5,5,,5
easyjet,2015-07-02,cdg|cia,cdg,CDG,CIA,cia,,,5,5,4,,5
easyjet,2015-06-30,liverpool|paris,liverpool,LPL,CDG,paris,,,0.5,2,3,,1
easyjet,2015-06-28,rome|munich,rome,FCO,MUC,munich,,,0.5,1,1,,1
easyjet,2015-06-20,milan malpensa|munich,milan malpensa,MXP,MUC,munich,,,5,5,5,,5
easyjet,2015-06-17,brs|fnc,brs,BRS,FNC,fnc,,,4.5,4,4,,5
easyjet,2015-06-16,london|reykjavik,london,LHR,KEF,reykjavik,,,3,2,3,1,4
easyjet,2015-06-15,geneva|nice,geneva,GVA,NCE,nice,,,4,3,4,,4
easyjet,2015-06-14,bristol|bordeaux,bristol,BRS,BOD,bordeaux,,,4,4,5,,5
easyjet,2015-06-13,bordeaux|bristol,bordeaux,BOD,BRS,bristol,,,2,3,3,,4
easyjet,2015-06-12,edinburgh|luton,edinburgh,EDI,LTN,luton,,,0.5,4,1,,2
edelweiss-air,2015-07-22,vancouver|zurich,vancouver,YVR,ZRH,zurich,,,5,4,5,4,5
edelweiss-air,2015-07-02,zrh|tfs,zrh,ZRH,TFS,tfs,,,4.5,4,4,3,4
edelweiss-air,2015-06-28,vancouver|zurich,vancouver,YVR,ZRH,zurich,,,0.5,1,5,5,2
edelweiss-air,2015-06-18,tampa|zurich,tampa,TPA,ZRH,zurich,,,5,3,5,5,4
edelweiss-air,2015-06-18,zurich|tampa,zurich,ZRH,TPA,tampa,,,5,3,5,5,4
egyptair,2015-06-29,yyz|jed,yyz,YYZ,JED,jed,,,3,4,3,2,4
egyptair,2015-06-29,jed|cai,jed,JED,CAI,cai,,,3,4,3,2,4
el-al-israel-airlines,2015-08-01,new york|tel aviv,new york,JFK,TLV,tel aviv,,,1.5,1,2,2,2
el-al-israel-airlines,2015-07-29,muc|tlv,muc,MUC,TLV,tlv,,,2.5,4,5,4,5
el-al-israel-airlines,2015-07-19,tel aviv|amsterdam,tel aviv,TLV,AMS,amsterdam,,,5,5,5,5,4
el-al-israel-airlines,2015-07-04,tlv|jfk,tlv,TLV,JFK,jfk,,,4.5,4,5,4,5
el-al-israel-airlines,2015-06-29,tel aviv|mumbai,tel aviv,TLV,BOM,mumbai,,,1.5,1,2,2,3
el-al-israel-airlines,2015-06-17,tlv|jfk,tlv,TLV,JFK,jfk,,,0.5,2,1,1,2
el-al-israel-airlines,2015-06-15,jfk|tel,jfk,JFK,TEL,tel,,,1,2,2,1,3
el-al-israel-airlines,2015-06-11,tlv-otp-tlv,tlv-otp-tlv,TLV,OTP,,,,4.5,4,4,,5
el-al-israel-airlines,2015-06-11,tlv-otp-tlv,tlv-otp-tlv,OTP,TLV,,,,4.5,4,4,,5
emirates,2015-08-02,sin|paris,sin,SIN,CDG,paris,,,2.5,3,1,3,3
emirates,2015-08-02,paris|dubai,paris,CDG,DXB,dubai,,,2.5,3,1,3,3
emirates,2015-07-28,cape|dubai,cape,CPT,DXB,dubai,,,3.5,3,3,4,3
emirates,2015-07-28,dubai|dubai,dubai,DXB,DXB,dubai,,,3.5,3,3,4,3
emirates,2015-07-28,jfk|milan,jfk,JFK,MXP,milan,,,4.5,5,4,5,5
emirates,2015-07-28,new york|milan,new york,JFK,MXP,milan,,,5,5,5,5,4
emirates,2015-07-28,vienna|guangzhou,vienna,VIE,CAN,guangzhou,,,3,4,3,5,3
emirates,2015-07-28,guangzhou|dubai,guangzhou,CAN,DXB,dubai,,,3,4,3,5,3
emirates,2015-07-28,manchester|mauritius,manchester,MAN,MRU,mauritius,,,5,5,5,5,5
emirates,2015-07-28,mauritius|dubai,mauritius,MRU,DXB,dubai,,,5,5,5,5,5
emirates,2015-07-27,manchester|delhi,manchester,MAN,DEL,delhi,,,4.5,5,3,5,4
emirates,2015-07-27,delhi|dubai,delhi,DEL,DXB,dubai,,,4.5,5,3,5,4
emirates,2015-07-27,bkk|bhx,bkk,BKK,BHX,bhx,,,4,3,3,5,4
emirates,2015-07-27,bhx|dxb,bhx,BHX,DXB,dxb,,,4,3,3,5,4
emirates,2015-07-25,dubai|algiers,dubai,DXB,ALG,algiers,,,0.5,1,1,1,1
emirates,2015-07-22,dxb|fra,dxb,DXB,FRA,fra,,,3,5,4,2,2
emirates,2015-07-21,paris|bangkok,paris,CDG,BKK,bangkok,,,1.5,2,1,3,3
emirates,2015-07-21,bangkok|dxb,bangkok,BKK,DXB,dxb,,,1.5,2,1,3,3
emirates,2015-07-21,brisbane|london,brisbane,BNE,LHR,london,,,1,3,1,4,3
emirates,2015-07-21,london|barcelona,london,LHR,BCN,barcelona,,,1,3,1,4,3
emirates,2015-07-20,kuala lumpur|dubai,kuala lumpur,KUL,DXB,dubai,,,4,4,5,4,4
